CnE8YNEAAAAJ;Witness  Mojeremane;25652621
ekSOGT4AAAAJ;Theodore A. Kennedy;bullecosociamer.95.3.293,4543506,41416635,10.1899/12-088.1,10.1086/676998
mEt3TB4AAAAJ;Jeffrey D. Muehlbauer;bullecosociamer.95.3.293,10.1899/11-010.1,10.1086/682329,10.1086/676998,40792671
k7U8LbUAAAAJ;Anne  Charmantier;25063460,3449311,25741321,40205515,30243915,3677581,40005615
fRMFU-YAAAAJ;Viktoria Olsson;4315612
Ckx4bMsAAAAJ;Gwenaël  Jacob;23270639
iiqMj3cAAAAJ;Emmanuelle  Baudry;23270639
kQkHBl8AAAAJ;Fumiya  Kawahara;27565809
JKrH_jAAAAAJ;James C. Cureton II;23034278,20799556,41261876
LwyTM-4AAAAJ;Olivier  Chastel;25063644,25063326,25511619,4601038,3449435,4095224,10.2307/1941698,3505686,10.1086/596512,30160582,24874208,30162238
mytZd4oAAAAJ;Leif  Hammarström;41417411
CjYIvPsAAAAJ;Christopher D.G. Harley;bullecosociamer.85.2.74
31SraPIAAAAJ;V. Anne Smith;4536524,25680438
1LXmE-wAAAAJ;Jan F. Gogarten;23360176,23273928
QAg-_2oAAAAJ;Mimi E. Lam;bullecosociamer.90.4.424
XlxrmysAAAAJ;J. David Allan;40343627,30034117,41490552,40343553,41490414,10.2307/1941217,10.2307/1936145,1351050,10.2307/1935152,10.2307/1935334,10.2307/1937027,10.2307/3868090,25595117,10.2307/2408487,10.2307/1938871,10.1086/681094,20491170,3682236,10.2307/3544247,4215087,4216880,4217465,4215199
SGEOj94AAAAJ;Mike S. Fowler;23736886,25623147,40235598,3548420,40235082,3547839,40235600,40235678
fPKsXxIAAAAJ;Nikolai  Ermakov;41318182,25133940,30134100,40305475
p-DtzmcAAAAJ;Naoki  Takebayashi;27857326,24032865,3061323,3448773,2640576
GnCbOj4AAAAJ;Peter L. Morrell;27733450,2640573,41426236,4279761
C_0_TfAAAAAJ;Gaofeng  Zhou;43578021
JycSCWUAAAAJ;Meixue  Zhou;43578021,24036911,40065627,42952340
BNlSQpsAAAAJ;Peter R. Ryan;43578021,24038641,25594937,23383354,40065593,24130118,4275274,24129568,24130353,4274486,24130352,4356728,20206015,41942730,4279773,4279836
vAXs9hwAAAAJ;Nicole  Dubilier;3883973,24827266,24852068
KAYYqb4AAAAJ;Maxeen  Biben;4534544,4534605,4534927,4534161
LeSDyGoAAAAJ;Lars  Markesteijn;30043634,40925450,43191508,24033520,24033440
f8Q2LccAAAAJ;Randy  Thornhill;4534878,3883595,4600699,2097116,10.2307/2408221,10.2307/2408558,10.2307/2409430,10.2307/1942478
QVAw7hUAAAAJ;Heikki  Pitkänen;4315136,25515845,4315813,40390240,24855594
lYGZXGsAAAAJ;Jouni Lehtoranta;4315136
NCKi1X4AAAAJ; Antti Räike ;4315136
hYbqWpoAAAAJ;Marcos Heil Costa;40928414,20440556,10.2307/2641227,newphytologist.200.2.350
VSnvZsAAAAAJ;Richard H. Wagner;4535058,4600647,25063278,25799789,4601220,4600721,4536159,4534962,10.2307/3677307,10.2307/3677224,10.2307/40166721
DFgiRIEAAAAJ;Kelly S. Ramirez;40800596,29779527
uUvaXpMAAAAJ;Christian L. Lauber;40800596,29779527
UYuVYfEAAAAJ;Nazir Ahmed Lone;25599112
jSMNq-wAAAAJ;Shafqat Fatima Rehmani;25599112
WsNCmrkAAAAJ;Taseer Ahmed Khan;25599112
E-yWN7gAAAAJ;Ayaz  Ahmed;25599112
eE6f954AAAAJ;Shamim Ara Begum;40343601
r4mg9VcAAAAJ;Stefaan  De Neve;40343601,41487946
EvGjIRMAAAAJ;L. Michael Romero;4535466,23360217,23360159,3884984,43287374,41500041
K32vd7sAAAAJ;Kiran K. Soma;4535466,30244456,3884574,41499864
n_TbX9QAAAAJ;John C. Wingfield;4535466,3884059,3884064,4602220,3884063,23034272,4601615,4601238,23270634,4536191,4601591,4534722,10.2307/1446144,3591160,4098550,10.2307/177467,3450804,3450856,23017143,4485761,10.2307/3677104,4094342,3884574,3884927,40405963,41499951,30163877,10.2307/3676651,30157866,40210555,10.2307/3676653,30163862,10.1086/661236,30164285,40005655,10.2307/3676661,10.1086/668852,30159995,10.1086/679475,23259747,30158643
MMGtHhUAAAAJ;David J. Beerling;3658917,3236222,10.2307/2845738,10.2307/2261507,10.2307/2261459,4096988
IrreH5wAAAAJ;Fabian  Michelangeli;10.2307/2388398
B9NKjfsAAAAJ;Jens  Søndergaard;1552307
cyLrFWkAAAAJ;Lars Peter Nielsen;1469044,40061945,24857073,24855068,24849816,4251101
bdRSIb8AAAAJ;Jane  Caffrey;1469044
eIjClegAAAAJ;Peter Bondo Christensen;1469044,24831859,24856147,24855068,4275919,24828382,4251101,3547544
rgw5bacAAAAJ;Bruce  Rannala;4601068,10.2307/2640445,2640843,3448847,2401051
Irl5pKkAAAAJ;Claire L. Schelske;4315584,1468585,40062235,10.2307/1933454,10.2307/1467545,24840608,41499799
kXSd01sAAAAJ;Mark  Brenner;4315584
xqoWAx4AAAAJ;William F. Kenney;4315584
g7nDMjIAAAAJ;Richard  Gardiner;2474772
JjN8WOsAAAAJ;Adam  Kay;25063600,10.2307/3071776
kKStSqYAAAAJ;Ana Navas;4315051
EKDn5VQAAAAJ;Basil Davis;4315051
OuZJjGgAAAAJ;Thomas O. Crist;221733,3095367,25680452,10.2307/2269488,3683779,10.2307/2265819,3588861,10.2307/3061119,10.2307/2679995,20440884,3696834,10.2307/3060992,25680447,3450081,4124781,10.2307/1941226,25085460,10.2307/5852,27759756,40213000,20445850,10.2307/3545281,3547746,3547409,4222250,4221947,24146472,10.2307/3546202
LPanTCIAAAAJ;Peter  Calow;10.2307/3546610
k6zEXg8AAAAJ;Richard  Sibly;10.2307/3565854
jNUs6LsAAAAJ;David B. Wake;2097188,20167184,20744044,10.2307/2399397,4098557,10.2307/1441155,10.2307/1441702,25512230,10.2307/2407719,10.2307/1443230,10.2307/2408190,10.2307/1441357,10.2307/1441701,2386721,1448521,40306305,10.2307/1445090,10.2307/1439493,10.2307/1444288,1448388,10.2307/1447174,3893057,3891612,3891875,3892328,3891791,3892329,10.2307/1565086,10.2307/1563553,10.2307/1563582,3893432,10.2307/1563644,10.2307/1563880,3892796,10.2307/1466956,3892203,10.2307/1563775,20488426,3891767,3892389,10.2307/1564743,3892799,10.2307/1467038,3891168,2400262
i0cZrwYAAAAJ;Michael S. Ross;41490467,10.2307/2389011,40927820,41505897,10.2307/3868113,40928244,20146960
fjUZhM8AAAAJ;Pablo L. Ruiz;40928244,20146960
gggyHlIAAAAJ;Christopher M. Berry;1547284,3080043
SiWbHxQAAAAJ;Fikret  Berkes;4315511,4315719,4314060,25547817,20102261,10.2307/2641280,4603236,40603026,4602753,41474598,4602422,27654136,4602950,41474670,4602779,27654135,27654137,24017347,27654134,10.2307/3673865
qkT4LkMAAAAJ; Anne-Sophie Crépin ;4315511,4315719
priLCiwAAAAJ;Juha  Piispanen;1552637
a_jZfPwAAAAJ;Stephanie M. Correa;25511711,25063794
YuYgX2EAAAAJ;Hubert  Schwabl;25511711,25063477,25511732,25063346,25063628,4534722,3505447,30244417,10.2307/3676648,30159994,10.2307/3676649
NfZkggoAAAAJ;Robert E. Preston;2444219,2444218,2444239,2444893,41425898,41425896,41425005
EJKq9GsAAAAJ;Peter  Neumann;25511565,27823552
x6dvSb0AAAAJ;Peter  Neumann;25511565,27823552
ezfDbxMAAAAJ;Xin  Wang;41434208
uN4153oAAAAJ;Catriona L. Hurd;23387033
jN0xAbkAAAAJ;Michelle L. McCrackin;41410581,40343539,24715105,25661078
WNK9wbgAAAAJ;Yi  Ding;27742824
7f5oIgYAAAAJ;Andrew J. Lowe;2656652,43578120,2446125,3448946,20172036,40305875,20869985,27743550
zLS4alQAAAAJ;Bruce R. Levin;20166409,10.2307/1935611,10.2307/2407279,10.2307/2406916
sr4nGhgAAAAJ;Isabelle  Dajoz;2445792,4124104,2446234,10.2307/2409976,23028868,20143546,3072194
6RNmbuAAAAAJ;Chong Wei Jin;43576259,43576721,24039919,42952708,40537854,40065338,43191516,20779834
qt36VwYAAAAJ;Shao Jian Zheng;43576574,43576657,43578147,24030916,43565298,42948036,40537854,24124987,40065866,24124283,40065338,4278332,41435484,20779834,41434254,23598528,4629826,43191087
0ZN5lIYAAAAJ;András  Szabó;43519217
b6PMkG0AAAAJ;Deborah W. Woodcock;40645594
8P90kTYAAAAJ;Scott A. MacDougall-Shackleton;25799797,40405986,40210555,10.1086/678988,10.1086/680599
eXu81mgAAAAJ;Parimal  Roy;1593524,1592783,1593290,10.2307/1592871,1593228
4YlUShkAAAAJ;Martin  Melles;10.2307/1552223
hFA5hmoAAAAJ;Nathan  Muchhala;4122795,43576238,30043635,24033702,4094313,4223516,41811673,3393414
hqKFm7UAAAAJ;R. Mark Brigham;25511672,10.2307/1383066,10.2307/1381534,1383649,4094290,10.2307/1383170,10.2307/1382791,4094416,25145177,30244790,3536756,10.2307/3676797,10.2307/3536591,10.2307/3536509,30158263,41500037,10.2307/3536808,10.2307/3536533
7udez0MAAAAJ;David  Hoekman;bullecosociamer.92.1.94,bullecosociamer.93.1.64,23034939,40792513,41686023,41499798
ffPiTBkAAAAJ;Markus  Metz;40296096
WnKu5MkAAAAJ;Stephen P. Bonser;4124158,43578130,43578117,2445488,43575938,41239229,3072119,20143436,4096633,27754287,40234862,10.2307/3546076,41508828,10.2307/3546723
kK0sz1QAAAAJ;Timothy J. Johnson;1593284,41417487,23322263,1592827,23526462
kn9-ifYAAAAJ;Jerod  Skyberg;1593284,1592827
Qctm4GsAAAAJ;Fernando  Montes;42952401
pEVxuXUAAAAJ;Andrew O. Finley;bullecosociamer.95.4.342,41739364
EiW6y-UAAAAJ;A. Paul Schwab;2445936
s8c3jScAAAAJ;Richard L. Hutto;4599432,20166568,2386145,4543461,20069046,27645904,4215592,10.2307/3565809
Rl_I9YgAAAAJ;Richard L. Hutto;4599432,20166568,2386145,4543461,20069046,27645904,4215592,10.2307/3565809
Nvu7BxYAAAAJ;David A. Wardle;20167920,20168451,40343515,10.2307/3868658,23143940,10.2307/2657230,25680411,43494978,10.2307/3100037,20787447,23225234,43494864,20068979,3599519,40732000,20143565,3236751,827467,20870170,4221522,10.2307/3546862,40210619,24060716,42952886,40235322,25681939,newphytologist.200.1.54,4223127,24125171,10.2307/3545580,23434810,3547140,25681924,3547380,42953460,3547083,42952887,24060777,42952881,23259723,10.2307/3546620,40235457,24056440,40234958,10.2307/3546566,24056198,40235696,40926906,3547857,24058102
3YD16XUAAAAJ;Marie-Charlotte  Nilsson;bullecosociamer.91.2.214,4315005,10.2307/3868658,25680411,23225234,20143565,3236958,10.2307/2261600,4220659,4221522,10.2307/3546862,40210619,10.2307/3546287,10.2307/3546462,42952886,40235322,10.2307/3545580,42953460,3547083,42952887,42952881,23259723,42951705,40210658,40234958,10.2307/3546566,40926906,24058102
pPaxGIEAAAAJ;Donald M. Anderson;4123850,24863598,24815001,3687610,24825661,24855624,24857300,24853228,24825522
7hRNbSkAAAAJ;Ruishan  Chen;23322921
LPvon88AAAAJ;James R. Garey;3227168,3884928,10.2307/3226943
ga5uiNEAAAAJ;Bente Jessen Graae;43578377,43576661,3683514,40305551
wNuOMc4AAAAJ;Madeleine E. Hardus;23360154,23360162
pOvmStIAAAAJ;Adriano R. Lameira;23360154,23360162
kW91Dz0AAAAJ;Ned A. Dochtermann;41413995,41240774,23213763,40925733,40835477
dZtC6jcAAAAJ;Johan  Temnerud;41417354
zF4c-O8AAAAJ;Martyn N. Futter;41417354,41505869
sDs5m_cAAAAJ;Cynthia Staicer;4535227
BFVxb_IAAAAJ;Robert D. Stevenson;10.2307/2389237,bullecosociamer.90.1.134,10.2307/1380884,41315932,4217906,30161219
5j0hqC8AAAAJ;Jonathan  Nissanov;3883335
xGQ9Ah4AAAAJ;Gordon  Hendler;3882088,10.2307/3227060,20487733,40665212
vwOL9lMAAAAJ;Patrick J. Alexander;41415232,41971657,41971998
r7D3MaQAAAAJ;C. Donovan Bailey;41415232,4122192,41971998,10.2307/3393042
4P8crlAAAAAJ;Kyle  Joly;20181768,3589107,40061746,25145203
tygGeYwAAAAJ;Leszek  Rychlik;4535613,23488594,10.2307/3544837,10.1086/668484
tiif6IwAAAAJ;Thomas  Broquet;20744038,27650717,23463889,23463890
dPQ8-FYAAAAJ;Tianhua  He;43578310,20143541,41508659
SmG5uqYAAAAJ;Sarah M. Zala;25511767
o3mAs2oAAAAJ;Dustin J. Penn;25511767,43599344,3449227
A9iYWmMAAAAJ;Ilyas  Siddique;40343562,25680465,24130548
P0nJzw4AAAAJ;Vera Lex Engel;40343562
zWabxxsAAAAJ;Raymond B. Huey;20166581,3881869,3882442,221735,3884256,20166334,3883390,4620174,4600460,2640704,10.2307/1443698,10.2307/1935113,10.2307/2409846,3448708,10.2307/2408420,10.2307/1443919,10.2307/2409925,10.2307/1941421,10.2307/1936926,10.2307/2408502,10.2307/1934975,10.2307/1442282,23463782,10.2307/1444534,10.2307/1935218,10.2307/2409105,25592681,10.2307/1936902,10.2307/1937714,3449274,10.2307/2409195,10.2307/1443017,10.2307/2409194,10.2307/1941063,4092941,3884985,3884972,4215784,30158599,30155968,30156181,30152617
3io7wq4AAAAJ;Neil W. MacDonald;1469979
yGAO0tAAAAAJ;Guojun  Wang;40601073
k5jlcScAAAAJ;Ramunas  Stepanauskas;40343438
O8RSuzkAAAAJ;Mary Ann Moran;1469425,4250956,4218938,40343500,24847594,4251262,40343448,4251234
suq96GcAAAAJ;Mary Ann Moran;1469425,4250956,4218938,40343500,24847594,4251262,40343448,4251234
4jkXMzMAAAAJ;Sang-Tae  Kim;41922359,41761758,40305893
2er4bLoAAAAJ;Arancha  Arbeloa;2444430
Z52Xn-kAAAAJ;Xin  Li;25704967,40066182,41942834,23274760,25704999,40537913,25758718,41943507
FzSOxvgAAAAJ;Xin  Li;4139083
a66awSoAAAAJ;Xin  Li;25704967,40066182,41942834,23274760,25704999,40537913,25758718,41943507
UOw9DkIAAAAJ;Guodong Cheng;4139083
pzo1VK8AAAAJ;Chris  Harrod;23736194,20062376
-AESx3IAAAAJ;Nelson  Ramírez;41740446,10.2307/3392253,23673222,23643349,20146634
mI9gJxIAAAAJ;Elliott L. Hazen;30245163,24872980
TUjELFEAAAAJ;Akinori  Takahashi;10.2307/3677021,24871985
XBSmYAQAAAAJ;Barney P. Caton;bullecosociamer.87.4.329
40KdBUUAAAAJ;Ariadna Valentina Lopes;3593175,23643342
bnKpfUkAAAAJ;Kerstin A. Nagel;43578343,43576429
RSaoKE0AAAAJ;Hanno  Scharr;43578343
P_x1JR0AAAAJ;Ulrich  Schurr;43578343,43576429,23696269,24038659,24031047,24038707,4281021,25680712,40065395,40537728,23389374
h1K3H6oAAAAJ;Shizue  Matsubara;43578343,43576429,23388082,23389374
PoRrIIsAAAAJ;Shizue  Matsubara;43578343,43576429,23388082,23389374
tT7OfcYAAAAJ;Melanie  Massaro;25063337,24055335
ET08lN4AAAAJ;Dimitri  Giunchi;25063425,25063746,40792940
12Rq_R4AAAAJ;Kerry  Slater;40296081
c0OVHUwAAAAJ;Elissa  Cameron;40296081
1u2DhFIAAAAJ;Trudy  Turner;40296081
siauWn0AAAAJ;Trevor  Platt;2096830,3658960,24867448,24817588,24855857,24827244,24871937,24873371,24833708,24871506,24817014,24817613,24824963,24856036,24817013,24857453,24837968,24815968,24817582,24829933,24855856,24866916,24816071
qNTFmk4AAAAJ;Charlyn  Partridge;40295297,41414576
_z-_ycYAAAAJ;Kim  Jaatinen;41686351,41499837
FebzLX0AAAAJ;Seung-Chul  Kim;41922993,2446126,4122753,41922350,2656988,4125539,27733450,23643354,43558266,23643353,23259412
raIUnf4AAAAJ;Chien-Ti  Chao;23728158,23728186,23728106
ewgr0xoAAAAJ;Angela  Sierra-Almeida;4139093,40606665
jzt0JowAAAAJ;Marco A. Molina-Montenegro;4139093,4095915,41412364
UAHPwcoAAAAJ;Tetsuto  Abe;2657110,4125503,40305543
lTMHdlIAAAAJ;Patrick  Schleppi;42950689
1nOrxUgAAAAJ;Carolyn Dowling;4095827
hhjBbQQAAAAJ;Anikó  Kovács-Hostyánszki;41058025
pt5TXAQAAAAJ;Andrea  Harnos;41058025
n9j1hPUAAAAJ;Janette W. Boughman;40295229
LJNvz3kAAAAJ;Michael J. Castellano;41414598,43493895,25622888,41413035
n_CEZB0AAAAJ;Henk  Siepel;10.2307/2999734
VVOYGJ4AAAAJ;Nadia Corp;4535916,4535837,4221515
eq_B8UIAAAAJ;Mathieu  Molet;40295227
ALH3ocMAAAAJ;Mary P. Anderson;1469080
nLtmSZ4AAAAJ;Julia  Fischer;4602230,25063427,41414717,23360170
aGSErfEAAAAJ;Rosa M. Rivero;4354454,40538113
yBnPH74AAAAJ;Joanna  Gliwicz;10.2307/2387898,23736955,4095826,3683262,10.2307/4997,10.2307/1381068,10.2307/3565252,10.2307/3565544,10.2307/3544128
OBVGjqYAAAAJ;José A. Díaz;4534950,40599660,3591126,10.2307/2265585,3893005,40305935,30243906,10.2307/1565047,40665017,10.2307/1564621,10.2307/1565703,23326904,10.2307/1564531,30164264,4220310,23434707
U5utGOQAAAAJ;José A. Díaz;4534950,40599660,3591126,10.2307/2265585,10.2307/2679807,3893005,40305935,30243906,10.2307/1565047,40665017,10.2307/1564621,10.2307/1565703,23326904,10.2307/1564531,30164264,4220310,23434707
CUaj0vsAAAAJ;Leszek  Jerzak;23737038
SKkkYZUAAAAJ;Luz Amparo Triana-Moreno;41406762
M2eymhUAAAAJ;Jason T. Weir;23261923,4095298,23262005,40793189
UyC-f4AAAAAJ;Heather F. Sahli;43576243,27733177,29783027,20445923
YlPq3YwAAAAJ;D. Ó hUallacháin;biolenviprocria.115B.3.191,biolenviprocria.114.2.101
aBZuKP0AAAAJ;John  Du Vall Hay;27742791
-3hYSFcAAAAJ;Gidi Ne''eman;4123182,3450108,3547600,3547682
S2SSV7kAAAAJ;Robert D. Holt;10.2307/2388038,2097094,2952495,3683326,27645951,3450652,27651426,10.2307/2657208,25592783,10.2307/177479,10.2307/176875,10.2307/2410305,10.2307/2266092,10.2307/1938162,3450889,27651590,10.2307/1942048,4495962,23017128,10.2307/5485,10.2307/3565696,10.2307/3565279,3548343,10.2307/3546242,40235612,10.2307/3565488,4222898
Ucv9QyUAAAAJ;Theodora  Petanidou;10.2307/2999643,2444569,2445419,4313798,2445509,27646159,40212954,40234925
r77FlyAAAAAJ;Dietmar  Kültz;3884520
hx3JLqYAAAAJ;Margret Schleidt;4533766
Bky6h2cAAAAJ;Tsipe  Aavik;25488471,23023116,20869978
xYWIs9IAAAAJ;Mari  Moora;23726975,25488407,3683248,23064545,4181352,23436159,4096666,40309833,20146909,24370204,10.2307/3545818,20051173
5URXCtwAAAAJ;Frank Wania;4315473,4314030
UMfvZH0AAAAJ;Dominic  Moran;4314349,10.2307/2999759
hBQgSk0AAAAJ;Sergey S. Berg;bullecosociamer.93.2.160
imSI0eAAAAAJ;Peter L. Tyack;4600402,25063393,25145132,24866325
vfYbp44AAAAJ;Alexander  Knohl;40647957,42951764
OCT6OOsAAAAJ;Andrew  Clifton;40801689
hCwCNAoAAAAJ;John E. Barrett;20181772,3659007,40603617,41489077
igVM0AEAAAAJ;Richard T. Barber;4314162
3mNzP38AAAAJ;James J. McCarthy;4314162
j0z9gGcAAAAJ;Béla  Tóthmérész;43519213,43505082,40405782,3236223,3236116,3697590,2656166,23362418
97lmpGAAAAAJ;Michael  Gilek;41417259,41417263,24855663
EXNqkiMAAAAJ;Björn  Hassler;41417259,41417265
XX2H45IAAAAJ;Fabio  Conti;23727864,23727590,23728146
ORUQXpgAAAAJ;Tran The Bach;23728213,40856326,23259353
R0N9u7EAAAAJ;Jennifer L. Miller;4536409
WcMxAP8AAAAJ;Georgia J. Mason;4535152
sPVL2KsAAAAJ;Horacio  Paz;41739311,10.2307/176549,23436136,3107899
pyKymhAAAAAJ;Liang  Zhao;43843053
HEor5fYAAAAJ;Julien B. Bachelier;23728130,43558585
CUy-14kAAAAJ;B.  Peco;1479082,3599301,43461096,2845887,3235971,3237047,3235779,3236104,40295837,3235709,3236709,10.2307/3544402
oAPqsVAAAAAJ;Sarah R. Partan;4535968,23500437
4OrBE38AAAAJ;Anna Maria Jönsson;41417261
zwvROeUAAAAJ;Shuhai  Xiao;4123668,1307146,29739127,4094885,1306737,29739133,29739064,4095162,1306981,4094916,4541256,3595522,1315592
yo2C2L0AAAAJ;Christine B. Schmitt;40927805
FKNuEeMAAAAJ;Ib  Friis;40927805,3591155,10.2307/4110065,10.2307/4110074,10.2307/4118879,10.2307/4129959,10.2307/4107837,10.2307/4114734,10.2307/4110048,10.2307/4108108,10.2307/4119012,10.2307/4110426,10.2307/4110174,10.2307/4110104,10.2307/4107746,10.2307/4119014,23044991
l8vslk4AAAAJ;Hans Juergen Boehmer;40927805
aqaXEyUAAAAJ;Carlos Martinez del Rio;10.2307/2388358,10.2307/2388537,10.2307/177344,20440730,41239447,3588949,40205498,40863579,4222727,30161235
77exO_EAAAAJ;Patrick  Faubert;41490537,40928213,24369089
h9oSv_8AAAAJ;Michael  Palace;30045454,40062196
sPyLa9oAAAAJ;Gregory P. Asner;30045454,1469394,20492567,bullecosociamer.91.3.343,4132914,2389029,4151459,25595147,27823700,41416640,23441615,3659036,20440556,27651072,40603433,41505940,40062172,41507794,4134683,10.2307/2640957,27645962,40062087,10.2307/2640958,40061728,24432184,29779639,4493646,20440624,41416666,4134731,25053801,25741353,40419177,24432206,24432262,3658784,40419178,3697502,41500634,41487351,40210557,42947867
2Jva2VoAAAAJ;Roman  Seidl;24708857
b43nMXAdGskC;Michael  Stauffacher;24708857
HhUW49wAAAAJ;Pius  Krütli;24708857
X7GybUQAAAAJ;Quang Bao Le;24708857
CUgpYLQAAAAJ;Grégoire  Meylan;24708857
TOVC91gAAAAJ;Corinne  Moser;24708857
nTSBDuYAAAAJ;Hiroki Koda;4536200,4536471
OI_6OdYAAAAJ;L. Lacey Knowles;20744056,4621382,10.2307/2640445,25150877,2640629,27920041,24033641,4621304,24032786
d6lxzpoAAAAJ;Ruhollah  Naderi;41415221
Kpj7J0IAAAAJ;Heinz  Mueller-Schaerer;41415221,23143879
ki3N3MIAAAAJ;Paola  Tosi;43578364,24039835,24037488,41435395,23598556
KUPoLMoAAAAJ;Joseph C. Scheerens;10.2307/2398839,4255368
Rs8PsaEAAAAJ;John Neil Cape;4315556
POnC_SYAAAAJ;Taejoong Kim;4099123,4099176
KwOlEjkAAAAJ;Ole R. Vetaas;10.2307/2389180,4095850,25134024,3246855,3877733,3697494,41310197,3182698,20143404,3697552,827583,10.2307/2845531,27654209,3554728,3237371,20050889,23500351,20050512,40305646
MTcEXhgAAAAJ;Patrik  Karell;23736787,40405841,40005553,41686351
-K1-y5kAAAAJ;Amy T. Austin;20519820,20519818,40603625,25592789,43677502,25470322,25470422,3236532,25549267,41413449,40210618,40005683,4221882,23274683
nI3fKA4AAAAJ;Gervasio  Piñeiro;20519820,41416745,25470344
Ym_CAKQAAAAJ;Berry  Wilson;10.2307/2387973
3ON0fP4AAAAJ;Luis M. Torres-Vila;25063536,3547908
eRg6sY0AAAAJ;Warren W. Burggren;3883689,3883105,3883943,3883395,3883621,10.2307/1443982,20102217,4540183,30159947,10.1086/679906,30157967,30158204,30152595,30156058
0lzVyNIAAAAJ;Roberta  Bettinetti;41417289
Wc_grB8AAAAJ;Jennifer  Dickie;41417289
QFxN8wkAAAAJ;Kenneth  Mavuti;41417289
piKM5NcAAAAJ;Erol  Akçay;24033700
-Md6rK0AAAAJ; Øyvind Kaste ;4314607,4314608
fKwq9YgAAAAJ;William J. Sutherland;4534398,4601775,bullecosociamer.85.3.100,4534642,23435663,10.2307/177100,2655801,10.2307/5582,2647232,3838418,10.2307/2404495,2647274,20144066,3838419,20143977,10.2307/2404948,10.2307/5943,10.2307/2404509,3506036,40605838,3505512,10.2307/4875,10.2307/2404496,10.2307/3677163,10.2307/5833,10.2307/3979,20144047,2405207,827172,2693451,27698392,10.2307/3978,3838420,3838352,20144036,4219953,3547888,4216797,4221948,10.2307/3546978,10.2307/3565196,10.1086/671165,40210841
WX9EOb4AAAAJ;John H. Graham;2446068,10.2307/2408520,2995867,2474945
cxk5LQIAAAAJ;Howard L. Snell;10.2307/2387653,3883062,43443130,2386482,10.2307/1564936,10.2307/1563903,3892908,40664966,3892386,4221029
r3NoDcMAAAAJ;Gerardo R. Camilo;10.2307/2388266,10.2307/1381910,20096595,10.2307/3503630
uxL3XqQAAAAJ;Benigno  Elvira;40310098
mYKbo8YAAAAJ;James M. Birch;3884509,10.2307/1383062
GRLkdB4AAAAJ;Rodney J. Scott;2443969,4496876
0HXCKZcAAAAJ;Katharina  Hirschenhauser;40295149,40296050
hZ6MTNQAAAAJ;Thomas Mione;2445772
ZVpZRf4AAAAJ;Zrinka  Dragun;41417294
8olbgSwAAAAJ;David  Eilam;25511770,41510628,1383795,4094562,3677384
gybs7ssAAAAJ;John  MacKinnon;10.2307/2666208
7NCao2QAAAAJ;Honor C. Prentice;221695,2673318,10.2307/2261593,10.2307/2261072,40958951,3599612,10.2307/2261114,4221263,23674114,23673784,41413503,3547837
ijnMPtcAAAAJ;Tim  Kiemel;3883802
8ZjRjDEAAAAJ;Terry  Prowse;41418327,41418329,41418328,41418326,25515851,41418325
5q7OGUAAAAAJ;Johan  Ehrlén;27733413,27733327,4131431,10.2307/1941223,41151246,3879252,20788154,25133775,2641668,3061215,43494362,10.2307/1940033,2387519,3505725,4096706,3599766,3236967,3072249,20528897,3505862,3599756,3072197,23027530,40309965,10.2307/3546385,4219632,20050968,40235492,10.2307/3545307,3547435,3547959,3548189,10.2307/3546615,40210896,4221474,27759755,3547591,40210541,4223450,10.2307/3545202
XigsAgUAAAAJ;Alan  Grafen;4600651,10.2307/2266126
DcBpy1AAAAAJ;James H. McCutchan Jr.;40343610,20055212,40061800,10.2307/1467959,4095629,3548040
zT9_ACkAAAAJ;Scott K. Sakaluk;4534582,4600075,4535679,4601120,4536157,23254819,23464130,41319634,3094643,43495218,10.2307/2408579,3094600,10.2307/2410842,3449004,25009309,10.2307/3565934,10.1086/663353
g-m7NTgAAAAJ;Michele  Burford;41490416
wgK_WOoAAAAJ;Jon  Olley;41490416,30138688
7eIU4xoAAAAJ;Roman  Teisserenc;41490446,20519871
Rt_SmrkAAAAJ;Susana  Agusti;20055201,24830501
hOkSDsAAAAAJ;Hilary  Kennedy;20055201
jt6KdusAAAAJ;Reuven  Dukas;4601594,30034120,10.2307/1940938,3450765,10.2307/1940064,4220344,4218463,23674342,3548353,10.2307/3546709,10.2307/3565286
xusK32EAAAAJ;Anne Gro Vea Salvanes;25063696,24832479,24849597,24867596
