72WMwcgAAAAJ;Jong-Guk  Kim;29783274
oEnPD4AAAAAJ;Eric S. Long;4094332,20062483
uh30mVIAAAAJ;Stéphanie M. Swarbreck;24039075,23598678
kjXJR4QAAAAJ;Seth  Finnegan;29739088,25609440,20445597,20445598,23014755,27670574,27670484
LnjipAUAAAAJ;Patrick  Venail;25623133,23597821
I0r2MlEAAAAJ;Gary  Haynes;10.2307/1381099,2400464,2400350
XuzjHb4AAAAJ;Ronald L Calabrese;41319657
gmpSpjYAAAAJ;Bryan A. Oakley;44161450
ToHuYccAAAAJ;Martin A. Lauxmann;24037795
YFTVVGgAAAAJ;Antonios D. Mazaris;40605907
rZOmDtQAAAAJ;Joseph  Tzanopoulos;40605907
sXbjQMgAAAAJ;David  Nagorsen;10.2307/1380480,10.2307/3503937,10.2307/3503899
7BuEFUQAAAAJ;William L. Gannon;10.2307/1383204,10.2307/1383203,10.2307/1381708,4094580,23259803,4498722,10.2307/1383230,10.2307/3504118,3504416,10.2307/3504296,10.2307/3504301
uq1gccMAAAAJ;Ladislav  Nedbal;24038285,4278202,4278818
GmbPsSIAAAAJ;Thomas  Roitsch;24036891,24037775,23697419,24036407,4280426,4276535,23383046,4280288,41435693,23389594,23389053
AZLrrEgAAAAJ;Satiander  Rana;23326883
ZVlu-bAAAAAJ;Niha  Dhar;23326883
Of2xwJ4AAAAJ;Alejandro del Pozo;4499183
9re6zU8AAAAJ;Guoquan  Liu;42568714
SDE1bb0AAAAJ;Ian D. Godwin;42568714,4293472
zxDZ_GsAAAAJ;Sergey  Shabala;24039042,24036911,24035869,24031150,24038729,24037465,23389634,23388776,41943275,24125092,23389100,40065627,23385222,23389856,42952340,41435046
MhophHYAAAAJ;Carlos Eduardo Falavigna da Rocha;10.2307/1547959
5XSNO1YAAAAJ;Paolo Ciavola;4300093,4298720,4299301
JqZaYN4AAAAJ;Rui Taborda;4300093,4298014,4298720
xDxpnPoAAAAJ;Elvira de Eyto;4095719
0DYBt9sAAAAJ;Mirco  Solé;24634299,43287343,25599269
Co9bm4wAAAAJ;David A. Waugh;20487779,4094113,4094921,27670547
pZPe1GYAAAAJ;Aminuddin  Mohamad;43594339,43582195,43581719,43594350,43582122,43582298
C8PtYyAAAAAJ;Raime B. Fronstin;25473451
hjtW8L0AAAAJ;Gerd  Masselink;43752424,43752396,43752626,43290950,23353627,43752422,43291036,27698393,43752389
g-shlykAAAAJ;Paul  Russell;43752424,4299529,43290984,4300034,43290950,43291036,27698393,43752600,4299489,25735731,43752595,43752389
TIVMwT4AAAAJ;Helena  Mitasova;23259036,27698342
dMMGiCUAAAAJ;Marta  Gonçalves;44161440,43290642
5haPGkwAAAAJ;Chris Houser;4300403
F-4gC-sAAAAJ;Richard S. Boardman;1302056,1307014,1304731,1302305,4094996,1303639,1301984,1306841,1301455
clhvvq4AAAAJ;Sonke  Hardersen;2655828
f0vLUDsAAAAJ;Magnus  Larson;25737347,30138686,25736253,25737346,27752783,29783100,43784305
1LOSWCUAAAAJ;Hans  Hanson;25737347,25736253,27752783,43784305,29783108
6sfyApQAAAAJ;W. Paul Menzel;4298101,4298549
HjWIJ5sAAAAJ;Sertac  Onde;23694545
359N6-sAAAAJ;Mohamadreza Baghaban Eslaminejad;20616575
