,fullname
13563,Richard P. Herbst
13570,E. A. Marschall
13571,D.  Lika
13613,Wayne A. Shifflett
13616,Fred N. Briggs
13623,Bryan R. Gasper
13625,Sabrina P. Schwery
13626,Todd T. Eckdahl
13643,John Grant Wells
13655,Phillip J. Mason
13657,J. E. Hendricks
13713,James D. Berger
13732,Elon Howard Eaton
13735,Laurie S. Eberhardt
13763,S. H. Scudder
13785,F. R. Marshall
13794,R.  Ruedemann
13796,W. De W. Miller
13802,Franklin  Hutchinson
13803,Douglas A. R. Sadler
13804,W. J. Maher
13818,Rutgers R. Coles
13819,Kumelachew  Yeshitela
13830,Stewart  Aitchison
13833,Hubert L. Clark
13843,David Cline
13854,Fanny Lee
13881,Ruth  Starrells
13912,Hay  Cheam
13931,François  Fournier
13936,E. F. Canard
13939,M.  Stanko
13940,D.  Miklisova
13941,D.  Gravel
13979,C. P. Martin
14019,William Morris Davis
14026,William C. Rives
14027,E. C. ANTHONY
14030,Micheline  Carvalho-Silva
14083,Elizabeth A.  Tibbetts
14084,Zachary Y.  Huang
14088,Mark F.  Dybdahl
14092,Curtis M.  Lively
14095,Luis Chiappe
14111,Erika J.  Edwards
14114,N. A. Ostenso
14115,John T. Lovell
14116,Joslyn  Gibson
14129,Amelie  Schmolke
14133,Stanley Logan
14146,F.  Wenninger
14170,Christian M. Skorik
14191,Langdon Gibson
14203,Casey A. Wood
14220,Francis M. Uhler
14242,Thos. H. Montgomery Jr.
14258,L. R. Taft
14260,E.  Walker
14299,Albert R. Mead
14312,William  Lloyd
14320,Margaret H. Armstrong
14326,Noboru  Sueoka
14349,Thair Lamont
14350,William Reichel
14372,William J. Erwin
14423,Verdi Burtch
14433,Suhel Quader
14460,B.‐E.  Sæther
14461,F.  Filli
14464,J. M. C. Ribeiro
14465,A.  Spielman
14475,Daniel L. Graf
14559,Curt  Walker
14567,Theodore  Gill
14576,Nobuo  Hamada
14577,Kunio  Okazaki
14578,Masateru  Shinozaki
14610,H.  Martin Schaefer
14611,Veronika  Schaefer
14612,Misha  Vorobyev
14616,Douglas  Gunnison
14623,C. R. Stockard
14642,P. L. Jouy
14650,Edward  Berger
14657,G. Frederick Wright
14706,Elizabeth P.  Derryberry
14707,Harry Webb Floyd
14746,George K. Cherrie
14754,Kevin  Higgins
14780,F. R.  Adler
14781,E. G.  LeBrun
14782,D. H.  Feener Jr.
14785,Charles Slover Allen
14790,W. Frederick Stevens
14791,C.  Hageman
14797,Carol  Madden
14823,Devere  Allen
14828,Torbjorn  Fagerstrom
14838,Gerald  Caple
14839,William R. Willis
14844,Richard A.  Lankau
14845,Sharon Y.  Strauss
14943,F. M. Pagán
14957,Chiska C. Derr
14961,J. D. McCloskey
14992,Amanda L. Ensminger
15007,JOHN M. PEARCE
15008,PETER  BLUMS
15009,MARK S. LINDBERG
15026,Thomas L. Bourne
15055,Frederic S. Webster
15058,Richard P. Thiel
15059,S. H. Fritts
15060,W. E. Berg
15107,Peter E. Schweizer
15110,W. J. Spillman
15147,Mrs. A. C. Reed
15164,Tettenhanger Green
15165,William Swainson
15179,Paul S. Morey
15181,Stanley Gehrt
15182,Gary L. Merrill
15186,Rachel L. Dellinger
15189,George  Seidel
15204,Wilson D. Wallis
15211,Thomas J. McKnight
15224,Ernst  Antevs
15309,JEROEN  RENEERKENS
15310,MAAIKE A. VERSTEEGH
15311,AMY M. SCHNEIDER
15312,THEUNIS  PIERSMA
15313,EDWARD H. BURTT JR.
15314,C. K. Averill Jr.
15339,Frank J. Turcek
15354,W. Koelz
15400,C. L. Cloonan
15402,Phoebe Knappen
15405,Sally E.  Thompson
15406,Karen E.  Daniels
15407,Amy M. Lark
15416,Katherine M. Brodhead
15424,George B. Twitchell
15445,Regine Schwilch
15458,Y. A. E. Bick
15459,W. D. Jackson
15464,Karole A. Haycock
15495,Edward H. Fogg
15503,Karen A. McMahon
15505,T. A. J. Jr.
15510,E. A. Odu
15511,Oluwatoyin O. Owotomo
15525,Amal C. Banerjee
15558,Harold Webster Jr.
15584,Luciano  Brocchieri
15603,Bridget L. Furness
15610, Patricia Hernández C. 
15611, Malinalli Rodríguez G. 
15620,M. G. F. Fuortes
15624,R. H. MacArthur
15625,Tariq  Gardezi
15628,Alexander M. Gorischek
15651,Karen C. Rice
15653,Syrena M. Taylor
15670,J. R. Larison
15733,Richard K. Lawrence
15748,Peter M. Norton
15753,Willy  Becak
15754,Maria Luiza Becak
15755,Heleneide R. S. Nazareth
15767,Douglas Ayers
15800,Douglas  Wagner
15807,Edwin Allan Phillips
15829,G. E. French
15830,W. E. Griffee
15839,J. Lewis Bonhote
15844,Egbert Bagg
15860,David L. Graney
15874,Elsa G. Allen
15896,Roy  Mendelssohn
15952,David  Ascanio
15961,Karl J. Roberts
15984,L.  Trouvelot
15991,Austin Paul Smith
16004,F. M. White
16008,W. J. Crozier
16012,Liane  Suloway
16031,Christopher G. Drummond
16051,John M. McWilliam
16055,David K. Wetherbee
16071,Robert B. Rosen
16080,Heather  Kliebenstein
16086,Dustin J.  Marshall
16087,Michael J.  Keough
16103,Brad G. Hill
16138,Homer F. Price
16147,Ekkehard K. F. Bautz
16158,J. H. Comstock
16159,J. G. Needham
16184,Charles E. Boucher
16193,Gregory C. Lorenz
16207,Raymond William Bouchard
16241,W. deW. Miller
16251,Judith Dean Godfrey
16252,Geoffrey A. Godfrey
16253,John A. Sealander Jr
16309,Albert J. Hendricks
16313,William Alanson Bryan
16350,Belén  Estébanez
16351,Eugenia  Ron
16352,Carmen  Alfayate
16353,Antonio  González
16354,Jaime  Bermejo
16359,Benjamin G. Freeman
16374,Ellison A. Williams
16401,Scott L.  Nuismer
16402,Martin T.  Morgan
16428,Hermann J. Muller
16450,Zsanett  Laufer
16452,Farida V. Minibayeva
16462,D. R. Strong Jr.
16469,J. V. Remsen
16474,Sean  Higgins
16478,Kristina M. Skebo
16504,Milton S. Ray
16506,Maria K. Hartley
16508,James Grace
16521,Geo. F. Fordyce
16527,Mary L. Skotnicki
16528,Jennifer A. Ninham
16540,Mrs. Ray Rothwell
16541,Gabriel  Gellner
16566,James  Preer
16590,Paul  MacClintock
16591,E. H. Barbour
16592,C. B. Schultz
16593,A. L. Lugn
16620,Cecil  Gordon
16626,Jean‐Baptiste  Ferdy
16650,Patricia M. González
16653,Ron C. Porter
16654,Inês De Lima Serrano
16656,Jean L. Woods
16657,Valentina  Sechi
16659,Ron G. M. De Goede
16660,Michiel  Rutgers
16663,Edwin A. Barber
16666,C. J. A. Porter
16667,Albert  Mathews
16700,Edwin E. Geldreich Jr.
16706,E. Ramona Garner
16707,Michelle  Jespersen
16717,Donald L. Burton
16725,Philipp  Sprau
16745,D. L. Bretell
16751, Luciano Nicolás Naka 
16760,Cristina  Giancotti
16764,John R.  True
16770,Eugene P. Cronkite
16771,Victor P. Bond
16774,Douglas D. Piirto
16775,Domenico F. Caramagno
16802,Yuichi Osa
16803,Toshiaki Kuramochi
16807,Shin-ichi Hayama
16808,Hiromitsu Orima
16809,Michio Fujita
16810,F. H. Snow
16815,P. J. van Beneden
16819,J. D. Caton
16832,Péricles S. Rêgo
16833,Juliana  Araripe
16834,Weber A. G. Silva
16835,Ciro  Albano
16836,Thieres  Pinto
16837,Alberto  Campos
16839,Iracilda  Sampaio
16840,Horacio  Schneider
16841,D. B. McDonald
16844,J. Donald Smith
16856,Alta Ray Gualt
16865,Bashford  Dean
16890,Thomas H. Montgomery Jr.
16916,M.  Asmussen
16940,C. H. Turner
16948,Douglas H. Morse
16970,H. Wilhelm Arnell
16971,D. K. Reading
16972,S. P. Hayes Jr.
16982, O. Dugès 
16997,Robert A.  Laird
17012,H. A. Miller
17027,Noel  Morss
17044,W. Bryant Tyrrell
17052,Robert H. Harwood
17055,I.  Györffy
17063,W. P. Baldwin
17067,Geo. H. Mackay
17072,R. E. Mirarchi
17073,R. R. Hitchcock
17091,Charles E. H. Aiken
17108,Kathryn M. Miller
17110,Stephen A. Woods
17121,Martin  Moynihan
17187,Elizabeth M. Dunham
17192,Derek L. Buschman
17229,Edward Manigault
17230,ANDREW M. TURNER
17231,EMILY J. CHOLAK
17232,MAYA  GRONER
17233,Robert S. Woods
17234,A. H. Brinkman
17294,Fabián L. Rabuffetti
17295,M. Obbard
17296,A. S.  Hoyle
17312,Charles R. Keyes
17314,Bridget E. Roche
17316,Henry M.  Wilbur
17317,Volker H. W.  Rudolf
17349,E. R. P. Janvrin
17362,Manly Miner
17363,W. S.
17378,A. D. Slavin
17394,Daniel  Bearup
17395,Sergei  Petrovskii
17396,Rod  Blackshaw
17402,Russel E. Mumford
17410,Robert E. Beardsley
17411,Elizabeth  Ferguson
17415,Howard V.  Cornell
17416,Bradford A.  Hawkins
17450,Katherine A. Glew
17456,A. E. Nordenskiold
17457,Hyman  Lumer
17470,Ruth  Anderson
17471,Patricia Lynn Somppi
17488,Joseph Allen Warren
17521,W. J. Sheffler
17523,Robert F. Kinzel
17539,H. C. SKEELS
17540,F. E. LANGDON
17609,J. J. Woodward
17624,Amber M. Roth
17626,Tom C. Will
17628,Sara Barker Swarthout
17633,Jeff L. Harmon
17659,Rendell  Rhoades
17664,Edwin M. Hasbrouck
17681,E. A. Stacy
17706,E. F. G. White
17715,Eero  Schroderus
17720,Suzanne C.  Mills
17721,Tuula A.  Oksanen
17727,Robert G. Rolan
17728,Gordon  Leidahl
17760,Walter  Gerritson
17777,John D. Snyder
17778,Robert A. Janke
17780,Karen L. Groepper
17813,H. S. Jennings
17825,A. E. Verrill
17835,D. H. Catlin
17836,D. K. Rosenberg
17847,Constant Bagnolini
17848,Jean Louis Pinna
17851,Caroline  Jeanneret
17852,Aurélie  Klopfenstein
17885,W. Earl Godfrey
17891,Jocelyn Hudon
17892,Alline Storni
17893,Elena Pini
17894,Marina Anciães
17895,Riccardo Stradi
17906,H.  Hagen
17932,T. D. A. C.
17938,Swati  Patel
17955,Emmett S. Goff
17983,R. Ellsworth Call
17987,John Lewis Childs
18000,Edward L. Jarroll Jr.
18001,Ernest Brown Babcock
18036,Michael L. G.  Loeb
18037,Ajit Pratap Singh
18075,Brian A. Miller
18078,Edwin  Vann
18095,Paul A. P. Durst
18096,V.  Louise Roth
18139,Pamela J. Parker
18149,Frank  Seto
18152,George  Goulielmos
18180,Florence A. Merriam
18190,David P. Brash
18221,Maynard M. Metcalf
18260,Frank P. Frazier Jr.
18262,Elinor Bolles McCabe
18309,Miriam  McLean
18311,Tage  Ellinger
18321,I. N. DeHaven
18324,Clarence B. Riker
18345,TROY W. GROVENBURG
18346,CHRISTOPHER N. JACQUES
18347,ROBERT W. KLAVER
18348,JONATHAN A. JENKS
18363,P. Tatner
18375,Dennis M. Mullen
18389,John B. Demille
18397,Golam Sayeed
18398,Stephen Taubel
18399,Conrad Erickson
18400,Andrew Zalatel
18401,Julie Cousins
18408,Kathryn J. Montovan
18409,Christelle  Couchoux
18421,Aaron A.  King
18422,Sourya  Shrestha
18423,Eric T.  Harvill
18424,Ottar N.  Bjørnstad
18462,L. S. Prevett
18471,R. A. Daly
18520,Daniel S.  Falster
18521,Angela T.  Moles
18560,Carol V. Schmiel
18602,João  Alpedrinha
18641,Richard H. Tousey
18656,Charles Earl Packard
18695,Joseph S. Beckman
18700,O. A. FARWELL
18729,H. K. Hayes
18730,H. E. Brewbaker
18735,Emilia  Sansone
18739,Thor‐Harald  Ringsby
18740,André A.  Dhondt
18745,April L. Moore
18779,Dana J. Leffingwell
18869,Joshua  Lindahl
18906,H.  Hensoldt
18932,William Hosea Ballou
18967,F. B. Loomis
18971,Frank M.  Hilker
18973,Horst  Malchow
18974,Hildegard  Uecker
18993,Louis  Murbach
18994,Thomas  Dwight
19010,Melvin  Koelling
19013,Dwayne  Etter
19043,Oswald J.  Schmitz
19056,Gilbert W. Blankespoor
19057,Eric A. Larson
19058,Maciej Jan  Ejsmond
19059,Marcin  Czarnołęski
19060,Filip  Kapustka
19105, Luís Fábio Silveira 
19106, Flávio César Thadeo de Lima 
19107, Elizabeth Höfling 
19108,Sjoerd Maijer
19129,William C. Braislin
19146,Daniel  Nettle
19147,Thomas V.  Pollet
19148,Daniel D. Jackson
19151,J. Albert C.  Uy
19152,Robert G.  Moyle
19153,Christopher E.  Filardi
19154,Zachary A.  Cheviron
19156,Mesilla
19157,Leonell C. Strong
19204,W. O. Ayres
19213,S. A. Buturlin
19229,Alfreda A. Berkeley
19241,Matthew J.  Kauffman
19242,John L.  Maron
19290,Thomas E. Penard
19301,Elke  Zippel
19354,Susan C. Seyer
19387,Jerome  McNeil
19409,M. Susan Johnson
19416,F. M. Endlich
19440,Tracy  Hamill
19447,Charles Wickliff Beckham
19466,Earl E. Bailey
19487,W. L. MOFFATT
19488,W. S. MOFFATT
19491,J. B. Perry
19519,Charleś B. Cory
19526,Rudiger  Hardeland
19530,Edgar  Zwilling
19537,Juan Antonia Jiménez
19538,Tarja  Sagar
19543,E. M. WILLIAMS
19552,Leslie Wheeler
19559,Iván de la Hera
19592,Robert R. Brinker
19593,Ahmad  Damanhuri
19602,Masashi Yoshii
19604,Thomas  Durfee
19610,A. S. Serebrovsky
19636,Byron B. Horton
19640,Michael G. Donahue
19643,Christopher J.  Leary
19644,Apryl M.  Garcia
19649,Nina C. Stoyan
19675,D. P. Ingraham
19692,Espen  Strand
19715,L. W. Bailey
19716,Eric  Odell
19729,Laura E. Bakken
19732,J. S. Billings
19743,C. W. Woodworth
19747,John  Brownlee
19755,Louise Shields
19756,Alston Shields
19783,Werner  Schmid
19784,Marten A.  Koops
19785,Mark V.  Abrahams
19796,Daniela  Salvini
19798,Rémy J.  Petit
19800,Dawid  Moroń
19803,Michał  Woyciechowski
19814,Dillman S. Bullock
19871,Michael S. Palmer
19877,Rauno V.  Alatalo
19879,Katherine L.  Buchanan
19902,Frank C. Evans
19913,Gene D. Sattler
19914,Patricia  Sawaya
19918,Igor  Nor
19919,Olivier  Duron
19920,Marie-France  Sagot
19954,Jason D.  Fridley
19955,Robert K.  Peet
19956,Eddy  van der Maarel
19957,Jo H.  Willems
19974,Kenneth R. Hackbarth
20006,John A. Boyd
20026,Barry S. Payne
20028,Alan  de Queiroz
20029,Javier A.  Rodríguez‐Robles
20070,George W. Field
20082,Thomas M. Massie
20083,Alexei  Ryabov
20087,Craig R. LeSchack
20093,James R. Koplin
20095,Albert R. Bammann
20118,Frederick LeRoy Sargent
20141,Francisco  Camacho
20142,Jeanne  Ponzetti
20146,N. H. Horowitz
20147,H. K. Mitchell
20161,Julian J. Baumel
20197,J. S. De Toledo
20198,L. E. DeMagalhaes
20226,Clifford H. Pangburn
20227,Frank L. Farley
20228,Lynn Griner
20235,Erin P. Martin
20236,Li-song  Wang
20287,MOLLY B. MCNICOLL
20288,CAROL K. AUGSPURGER
20295,Edgar B. Howard
20324,Glenn F. Seeholzer
20325,Benjamin M. Winger
20327,Daniel Cáceres A.
20334,Babette Brown Coleman
20339,James Henry Rice Jr.
20342,C. E. H. Aiken
20351,Matthew J.  Smith
20353,Jonathan A.  Sherratt
20355,Sylvester D. Judd
20374,Sarah E. McCloskey
20383,M. R. Gottschalk
20384,K. A. Parsons
20386,H. H. Kramer
20400,MARK C. HOVE
20401,BERNARD E. SIETMAN
20402,JOSH E. BAKELAAR
20403,JENNIFER A. BURY
20404,DAVID J. HEATH
20405,VANESSA E. PEPI
20406,JENNIFER E. KURTH
20407,J. MIKE DAVIS
20408,DANIEL J. HORNBACH
20409,ANNE R. KAPUSCINSKI
20418,Jessica  Niederer
20436,T. H. Montgomery
20446,Sherie N. Zahn
20466,Reginald Denham
20479,F.  Stauffer
20481,S. H. C.
20509,Christopher R. Coker
20511,Susan V. Briggs
20515,James V. Neel
20529,Emma E.  Goldberg
20542,C. Eliot Underdown
20553,D. C. J. Wessels
20554,L. A. Wessels
20555,W. H. Holzapfel
20557,Burt G. Wilder
20561,T. H. Moxham
20588,André M.  De Roos
20589,Tim  Schellekens
20590,Tobias  van Kooten
20591,Karen  van de Wolfshaar
20595,Mrs. Jesse Stephenson
20596,Erich  Klinghammer
20603,W. A. R.
20609,Elizabeth Redrupp
20610,Nelson E. Wilmot
20619,C. S. Prabhakar Naidu
20620,N. Mala Kondaiah
20639,Nicholas W. Lepp
20640,J. Allan Lawson
20647,E. M. Hasbrouck
20658,Stan R. Carlson
20666,P. W. Gregory
20698,Gerald T. Braden
20729,Thomas P. Zapatka
20744,E. Gordon Alexander
20765,G.  Macloskie
20847,Roberta Wolff Rubinoff
20882,T. Jonathan  Davies
20884,John L.  Gittleman
20910,Jean-Michel A. DeVink
20920,Marie Mathiaut
20921,Guy Boisson
20973,Sukyung  Kim
20974,Shi-Ryoung  Park
20993,Catherine  La Farge-England
20994,Maurice  Sullivan
20995,Herbert S. Cutler
20998,Frederick J. Ruff
21009,Douglas J.  Emlen
21010,Leigh W.  Simmons
21017,Victor L. Emanuel
21018,George W. Mackay
21021,R. Wayne Nelson
21023,J. Ryan Shipley
21025,Nyambayar  Batbayar
21046,A. M. Elowson
21066,Manuel  Mahú
21071,Ann  Buckley
21074,Hiromi  Miyawaki
21075,Masakane  Inoue
21076,KEN  YASUKAWA
21098,William W. Cloe III
21102,Susana de Moura Lara Resende
21122,Elizabeth Day Palmer
21123,E. B. Hart
21124,Vicent  Calatayud
21148,Locke L. Mackenzie
21157,Natascia  Tamburello
21169,O. C. Marsh
21182,Duncan McIntosh
21186,J. W. Collins
21205,A. C. Matheson
21236,Elizabeth G. Kelly
21249,Luca  Bolzoni
21252,John P. Badgerow
21266,E. A. Barber
21280,Jacob  Napieralski
21281,Nicole M. Geist
21289,Christina E. Jenkins
21321,C.  Brent
21322,Mathew  Vickers
21340,Sharon  Bartholomew-Began
21341,Nicole L. Jones
21342,Paul  Slud
21428,William Dijak
21486,E. S. Swanson
21488,J. L. Gellerman
21489,H.  Schlenk
21504,Charles Atwood Kofoid
21530,Richard M. Chase
21532,Thural Dale Foster
21540,Elizabeth Eli Holmes
21552,George H. Mellen
21571,William H. Brittingham
21576,Michael E.  Alfaro
21581,James C. Bartoneck
21583,Stanley T. Harris
21584,Warren King
21598,Tim W. Gallagher
21599,Bobby R. Harrison
21600,Gene M. Sparling
21601,Ronald W. Rohrbaugh
21605,Timothy R. Barksdale
21615,Rev. C. J. Young
21616,Judith R. Alexander
21654,CHRISTOPHER E. COMER
21655,ANDREA L. BELL
21656,BRIAN P. OSWALD
21658,D. BRENT BURT
21685,Z Morgan Benowitz-Fredericks
21730,Phillip D. Kloeckner
21738,Glenn  Marion
21743,J. W. Thomson
21748,James V. Remsen
21751,Julia B. Platt
21799,Rebecca E.  Irwin
21894,Ernrest G. Holt
21911,M. A. Bayless
21913,J. F. Fairchild
21926,Clyde E. Ehinger
21963,W. Dan Quattlebaum
22005,Henry S. Forbes
22006,Jane D. O'Regan
22020,Pedro  García-Zamora
22029,Jack  Teng
22030,Kevin S.  McCann
22046,Rick A. Hart
22062,Julian  Jaffe
22076,RHONDA  HUDGINS
22077,CHRISTOPHER  NORMENT
22078,MATTHEW D. SCHLESINGER
22079,PAUL G. NOVAK
22083,D. E. Lancefield
22090,Mica  Peacock
22100,C. G. D. B.
22107,Sebastiaan A. L. M. Kooijman
22120,RONNIE  WIRESTAM
22121,TIMMY  FAGERLUND
22122,MIKAEL  ROSÉN
22123,ANDERS  HEDENSTRÖM
22127,N. F. Leopold Jr.
22138,W. Howard Ball
22155,H.  Nair
22185,Steven E. Pomeroy
22187,Leonardo  Campagna
22193,Otto  Holstein
22238,Douglas G. D. Russell
22257,James W. Banks
22264,James  Moffitt
22276,Herbert W. Brandt
22278,Maxwell N.  Burton‐Chellew
22279,Tosca  Koevoets
22280,Bernd K.  Grillenberger
22281,Edward M.  Sykes
22282,Sarah L.  Underwood
22283,Kuke  Bijlsma
22284,Juergen  Gadau
22285,Louis van de  Zande
22286,Leo W.  Beukeboom
22287,David M.  Shuker
22294,Caron Y. Inouye
22295,Riccardo D. Stradi
22300,Thomas H. Jackson
22309,Florence K. Daley
22319,Catherine A. Mossman
22320,Nancy P. Srivastava
22359,Jeffrey S. Christie
22362,J. Brian Horton
22365,Eugene J. Goellner
22380,Robert O. Morris
22388,Phillip  Hadley
22405,Jan  Medlock
22406,Paula M.  Luz
22407,Claudio J.  Struchiner
22408,Alison P.  Galvani
22419,ROGER W. PERRY
22420,S. ANDREW CARTER
22421,RONALD E. THILL
22453,Chas. Theo. Black
22456,Wolfgang  Kramer
22463,Howard Cleaves
22469,Lin  Pang-Juan
22516,Iñigo Granzow-de la Cerda
22517,Ravenel Sass
22525,Chas W. Metz
22563,Crawford H. Greenewalt
22566,Thomas C. Desmond
22569,Robert E. Gill Jr
22631,A. M. Leroi
22633,G. V. Lauder
22645,H. L. C.
22650,Clarence F. Stone
22678,Michael J. Vargo
22732,Phineas W. Whiting
22772,Tonia  Korves
22781,Argimiro D. Lago
22809,Joseph  Stafford
22842,James J. Murray
22845,Edwin G. Conklin
22862,Efrat  Seri
22863,Yosef E. Maruvka
22865,William  Wood
22880,Arnold F. Van Pelt Jr.
22885,P. N. Van Kampen
22895,Harry Clay Yeatman
22901,Ruth G. Kazmierski
22902,J. Merton Swain
22913,Betsy  Abroe
22915,Marc C. Pedersen
22924,Arthur P. Stubbs
22929,Carlos Ramírez Reyes
22930,Jeffrey L. Eitzmann
22968,H. S. Pepoon
22976,S. A. Grimes
22979,(Mrs. F. C.) Amelia R. Laskey
22980,Myra Katie Roads
22984,Leonard Worcester Williams
22998,C. J. F. Ter Braak
23011,Vlastimil  Krivan
23021,Ray  Keller
23024,J. E. Toll
23039,C. D. Bird
23040,H. D. Kirkover
23042,Lauren S. MacDade
23046,Gro V.  Amdam
23047,Kari‐Anne  Nilsen
23048,Kari  Norberg
23049,M. Kim  Fondrk
23112,Conger N. Hagar
23131,Larry R. Holden
23168,Sarah M. Rockwell
23172,John H. Brandt
23182,H. V. Wilson
23205,D.  Waxman
23206,J. J.  Welch
23211,NATHAN J. ZALIK
23212,ALLAN M. STRONG
23213,Arthur Cleveland Bent
23217,Terry Mace
23305,Pertti Paananen
23328,Yosef Linder
23329,Nurit Winkler
23333,C. B. Gardiner
23337,Kevan  Berg
23338,Shelley L. Hunt
23340,David M.  Forsyth
23341,Richard P.  Duncan
23347,Helen M. Zorsch
23374,Tom McAllister
23382,JAMES J. DINSMORE
23383,WILLIAM L. HOHMAN
23394,JOHN  HIGGINS
23409,José L.  Tella
23411,Craig S. Lombard
23414,Eileen Sinclair Nason
23415,C. K. Clarke
23452,JOSHUAH S. PERKIN
23453,ZACHARY R. SHATTUCK
23454,TIMOTHY H. BONNER
23455,Wendy K. Gronke
23457,Sarah J. Bandas
23470,Glenn H. Clemmer
23511,I.  Hagen
23512,Olga  Yano
23516,Victor  Carpenter
23528,Harald  Lindberg
23535,W.  Wood
23536,Henk C. Greven
23552,Julie W.  Smith
23553,Craig W.  Benkman
23556,Christopher C.  Mundt
23557,Kathryn E.  Sackett
23558,LaRae D.  Wallace
23559,Christina  Cowger
23560,Joseph P.  Dudley
23562,Grace Adelbert Sandhouse
23637,Heather  Gerstmar
23654,Egbert  Heinlein
23657,Rex B. Filson
23666,Kendall Laughlin
23676,J. Walter Fewkes
23695,Hans  Przibram
23696,J. H. Storer Jr.
23709,Duncan  McConnell
23713,Helen Granger Whittle
23736,Robert E. Cleary
23741,Alpheus  Hyatt
23747,F. L. S.
23750,Patrick  Horne
23766,Catharina  Schulze
23767,Andrea  Bombosch
23769,Carol C.  Horvitz
23770,John B.  Pascarella
23795,Idelle A.  Cooper
23803,R. G. Hazard
23808,S. Ray Aycock
23838,Kristi L. Burnell
23855,Judith Scherpelz Armbruster
23868,Théophile  Bernard
23869,Marie  Goas
23874,Charles E. Denoncourt
23880,René  McDaniel
23885,Ch. Fred. Hartt
23930,John C. Loquvam
23932,Bianca  Cerendolo
23933,Frank  Andel
23978,F. M. Balfour
24040,Richard  J. Camp
24041,Kathryn  Turner
24042,Katherine  McClure
24043,Katherine  Goodall
24044,Carlene  Henneman
24045,Caleb  Spiegel
24046,Jaymi  LeBrun
24047,Erik  Tweed
24116,Gladys Walker
24135,Barbara Marshall Matthews
24145,Elizabeth S. Hadaway
24163,Alexander Sprunt
24187,Daniel Brian Krupp
24211,Renato M. Coutinho
24235,Ralph B. Nestler
24236,Arnold L. Nelson
24237,Henry H. Collins Jr.
24241,R. P. Howmiller
24255,John K. Luedeman
24257,Daniel D. Warner
24320,Jaime  Ashander
24324,Charles  Platt
24342,J. Lawton Williams
24343,G. S. Miller Jr.
24347,Charles M. Pomerat
24350,Samuel A. Elliot Jr.
24362,Chas. G. Crane
24363,F. M. Comstock
24368,Leonidas B. Tebo Jr.
24369,John N. Krull
24445,D. F. Doak
24446,D.  Bigger
24447,E. K. Harding
24448,M. A. Marvier
24449,R. E. O'Malley
24454,T. Scott Byington
24529,H.  Williams
24571,Robert R. Ireland Jr.
24589,Willoughby P. Lowe
24607,Jean T. Boulware
24637,Torbjorn  Jarvi
24677,Anne L. Secord
24716,Alan  Mozley
24717,W. D. W. Miller
24742,Gary J. Schroeder
24743,Nancy E. Schroeder
24747,Faxon W. Cook
24773,Chas. V. Riley
24776,William R. Goodge
24804,Douglas R. Hileman
24805,Lytnda Fox Lieto
24836,Raymond Cayouette
24934,Charles  Whittlesey
24961,Ashley J. R.  Carter
24970,S. A. Eliot Jr.
24971,Herbert L. Coggins
24975,Edmund B. Wilson
24994,Yingdi  Liu
24996,Ross I. Hastings
25002,Jessica  Housley Ochs
25003,Mathew  Sebastian
25029,Randall E. Moss
25030,John W. Scanlan
25031,Charles S. Anderson
25050,Oswaldo A. Da Silva
25051,Maria I. Pagani
25052,Danforth  Weems
25055,M.
25060,Kenneth H. Neldner
25067,Emerson Luiz Gumboski
25068,Sionara  Eliasaro
